State,Year,Population,Population Percentage,StateID
Idaho,2018,106007,6,ID
Illinois,2018,1806150,14.2,IL
Indiana,2018,358801,5.4,IN
Iowa,2018,181110,5.7,IA
Kansas,2018,207646,7.1,KS
Kentucky,2018,169564,3.8,KY
Louisiana,2018,191369,4.1,LA
Maine,2018,49487,3.7,ME
Maryland,2018,908735,15,MD
Massachusetts,2018,1195593,17.3,MA
Michigan,2018,699218,7,MI
Minnesota,2018,481444,8.6,MN
Mississippi,2018,73333,2.5,MS
Missouri,2018,262488,4.3,MO
Montana,2018,23718,2.2,MT
Nebraska,2018,138175,7.2,NE
Nevada,2018,591532,19.5,NV
New Hampshire,2018,82552,6.1,NH
New Jersey,2018,2039032,22.9,NJ
New Mexico,2018,197508,9.4,NM
New York,2018,4456968,22.8,NY
North Carolina,2018,818383,7.9,NC
North Dakota,2018,36103,4.7,ND
Ohio,2018,552923,4.7,OH
Oklahoma,2018,234602,5.9,OK
Oregon,2018,427540,10.2,OR
Pennsylvania,2018,931955,7.3,PA
Rhode Island,2018,144940,13.7,RI
South Carolina,2018,255855,5,SC
South Dakota,2018,29545,3.3,SD
Tennessee,2018,355451,5.3,TN
Texas,2018,4934187,17.2,TX
Utah,2018,265666,8.4,UT
Vermont,2018,30079,4.8,VT
Virginia,2018,1066050,12.5,VA
Washington,2018,1109546,14.7,WA
West Virginia,2018,26456,1.5,WV
Wisconsin,2018,293897,5.1,WI
Wyoming,2018,18005,3.1,WY
